id,title,key
71,浅议小学语文阅读识字教学,识字 学生 阅读 教学 培养 兴趣 以读 促识 特点 借助
72,以互动教学为载体  构建初中科学课堂,互动 课堂 教学 科学 教学效果 深入 态度 融洽 课堂气氛 互动性
73,如何做好班主任和班主任工作自身能力与核心问题的研究,班主任 当好 工作 需要 教师 合格 信息 因素 密不可分 互相联系
74,初中英语教学中如何发挥学生主体作用,学生 发挥 参与 实践 语言 打破 教学 熟练 主体 英语
75,小学语文童话教学的有效性措施,语文 童话 帮助 学生 教学 学习 小学 理解 掌握 更好
76,如何提高小学语文课堂教学有效性,课堂教学 有效性 教学 提高 备课 严重 实现 教师 语文 问题
77,如何增强初中历史教学趣味性,趣味性 教学 初中历史 增强 简单 介绍
78,改变观念 搞好体育教学,体育 素质教育 紧迫性 观念 搞好 实施 教学 适应性 阐述 探讨
79,浅谈初中语文课堂情境教学的有效性,教学 语文 有效性 课堂教学 情景 提高 情境 特点 全面 素养
80,浅谈初中物理探究式课堂教学,物理 学生 探究 教学 达到 课堂教学 培养 态度 目标 情感
81,小学英语高效课堂的构建浅析,学生 能够 学习 生活 高效 教师 达到 课堂教学 需要 知识
82,高中物理教学中如何培养学生创新能力,学生 教学 培养 创新 物理 创新能力 思维 研究性 学习 促进
83,小学数学教学如何培养学生的素养,数学 教育 培养 素养 小学 数学知识 教学 改革 学生 解决
84,提高小学数学课堂教学质量的对策,数学 学习 质量 小学 课堂教学 提高 对策 进行 知识 教育
85,高效课堂是初中英语教师的境界,兴趣 知识 学习 时期 产生 教师 很大 程度 英语 需要
86,小学音乐教学中合唱教法的策略分析,音乐 合唱 教学 小学 方面 享受 生活 逐渐 提高 增强
87,浅析多媒体技术在初中历史教学中的应用,教学 效果 课堂教学 学生 能够 多媒体技术 历史 课堂 枯燥 音频
88,立足岗位 做“四讲四有”干部教育培训学院合格党员教师,教育 培训 干部 教师 学院 奉献 党员 是否 合格 总书记
89,小学语文拼音学生认知分析,拼音 学习 语文 小学 学生 基础 知识 后续 内容 教学方法
90,探究小学数学教学方法的优化,小学 兴趣 数学 优化 学习 课堂教学 方法 学习成绩 来源于 有所
91,浅析初中语文汉语言文学教学,文学 培养 方面 人才 教学 关键 承载 文化 综合性 民族意识
92,浅析边疆地区物理教学中如何创设物理情境提高课堂效率,物理 课堂 效率 提高 教学 学生 边疆地区 创设 原有 得到
93,浅谈初中化学教策略,学生 化学 初中化学 培养 概念 引导 分散 灵活运用 知识 目的
94,德育为先，深化五德教育活动,教育 探索 思想道德 推进 建设 工作 全面 训练 民族 共创
95,小学语文教学中如何联系生活的个人看法,生活 教学 学生 语文 学习 主体 参与 获得 活动 生活化
96,如何契合课改创新理念优化初中语文教学方式,教学方式 发展 理念 创新 一定 全面 优化 同学 语文 时代
97,高中语文新课程改革势在必行,教学 手段 语文课堂 教学方法 语文 教师 进行 带动 方面 新课程
98,小学体育教学有效途径的策略研究,教学 实施 体育 策略 产生 个性 方面 身体 小学 课堂教学
99,说说“差生”,差生 研究 值得 成绩 聊聊 特殊 学困生 发现 学习成绩 问题
100,聋生心理健康教育教学的问题与思考,教育 心理健康 聋生 方面 问题 提高 教学 值得 表现 学校
101,初中英语以学生为主体教师为指导教学分析,主体 教师 课堂教学 学生 教学 分析 介绍 更好 探讨 发展
102,“动态生成”教学理念 ——在小学语文古诗词课堂的实践,古诗 语文 教学 小学 学生 生成 课堂 动态 学习 影响
103,初中语文名著阅读教学的有效性研究,名著 阅读 有效性 学生 学习 阅读教学 教学质量 个性 习惯 提供
104,机械制造的发展与前景,发展 制造 先进 逐步 设备 工业 机械 建立 做出 落后
105,初中英语口语教学存在的问题及对策探讨,英语口语 教学 探讨 问题 出发 对策 日常 存在 现状 方法
106,初中英语教学方法浅析,学习 学生 良好 英语 教师 树立 学好 帮助 环境 计划
107,如何使小学思想品德内容生活化,思想品德 教育 教学 适合 活动 小学教师 小学 比较 知识 影响
108,关于烟台地区共享单车发展现状与趋势的调查研究,单车 共享 现状 调研 发展 地区 烟台 相应 展开 趋势
109,关于当前农村小学德育存在的突出问题及其对策,教育 问题 突出 存在 农村 小学 创新 提高 德育教育 方式
110,浅析幼儿抗挫折能力的现状及培养研究 ——源自广州市南沙区的调查分析,挫折 幼儿 能力 教育 差异性 家庭 培养 调查 经济 进行
111,谈幼儿园自制玩教具的实用价值及有效利用,教学 教具 学生 有效 幼儿 孩子 应用 废旧 影响 发展
112,合作学习在小学语文课堂中应用的研究,教学 语文 背景 合作 提升 对此 新课程 了解 教学方法 应用
113,巧用数形结合优化小学数学教学,数学 数形 能够 教育 小学 帮助 转化 理解 学习 关系
114,小学数学教学中学生学习潜能的挖掘,学习 学生 挖掘 数学 潜能 小学 教学 提升 需要 潜力
115,高中语文阅读教学实践与应用,阅读教学 应用 实践
116,数控仿真技术在中职数控教学中的应用,学生 教学 中职 院校 专业 仿真技术 应用 不断 需求 较差
117,关于古籍数字化方面的探索与研究,古籍 数字化 知识 方面 领域 意识 学者 专家 内容 重点
118,新形势下图书馆信息化管理的发展趋势探讨,图书馆 管理 信息化 发展 人性化 数字化 内容 探讨 描述 发展趋势
119,论高校图书馆图书流通的管理创新,高校 服务 图书馆 管理 流通 创新 提出 发展 学生 传统
120,多源化招生形势下关于高职班主任工作的几点思考,招生 班主任 模式 工作 生源 教育 高等职业 高职 源化 多样化
121,一种太阳能无线视野辅助塔吊监控系统,塔吊 视野 监控 辅助 无线 太阳能 系统 盲区 存在 开发
122,新型垃圾桶的设计研究,垃圾桶 垃圾 设计 储存 单独 水瓶 回收 空间 类似 外观
123,基于自适应变参数策略的干熄焦余热锅炉主汽温控制方法研究,锅炉 主汽温 余热 控制 取得 参数 适应 实际 良好 应用
124,知识产权保护对国际贸易的影响要要要--一个研究综述,知识产权 保护 国家 影响 国际贸易 研究 得到 特别 诉求 重要
125,精准扶贫背景下企业社会责任的履行--来自内部人交易的考察,责任 社会 企业 交易 文章 履行 样本 背景 研究 发现
126,金属熔融涂覆成形薄壁件表面形貌与工艺,成形 金属 研究 熔融 表面 新工艺 增材 制造 影响 工艺
127,基于自适应透射率比的水下图像复原算法,图像 透射率 算法 计算 进行 通道 水体 图像复原 采用 公式
128,关于临床见习护生教学的探析,见习 临床 护生 在校 获得 重要 护理 患者 培养 方法
129,高中学生立体几何学习障碍成因分析,学习 方面 学生 立体几何 能力 一定 内容 感到 解决 具体
130,小学数学课堂中如何培养学生的创新能力,学生 培养 课堂 创新 教学 创新能力 数学 小学 民主 平等
131,浅谈如何培养小学生的课外阅读习惯,阅读 课外阅读 培养 习惯 能力 组成部分 训练 必不可少 扩展 课堂
132,新技术下语文课堂教学的有效策略,学习 语文 有效 视觉 调动 课堂教学 教学活动 学生 感知 信息技术
133,探寻民族声乐与原生态唱法异同,原生态 唱法 声乐 音乐 推动 原生 民歌 艺术 发展 论战
134,H桥级联型APF直流侧电压平衡三级控制,电压 电流 实现 均衡 补偿 直流 谐波 级联 有功 稳定
135,桥梁倒塌事故原因分析及预防对策,原因 事故 问题 因素 桥梁 分析 自然 预防 坍塌 环境
136,基于计算思维的FLASH课堂设计与应用,思维 学生 计算 重要 融入 教学 作用 能力 素养 方面
137,基于装配式建筑的地方高校人才培养,建筑 装配式 人才培养 体系 构建 技术 人才 产业 问题 转型
138,浅析高校后勤社会化改革,改革 社会化 深入 后勤 面临 高校 共同 历经 重新 设计
139,《临床肺科杂志》稿约,肺科 临床 杂志 学术 期刊 连续 刊号 出版物 科技 全国
140,车内防窒息装置的设计与制造,窒息 装置 内防 孩子 制作 二氧化碳 快节奏 检测 创新 进行
141,论船舶外板脚手架的安全设计与工艺要求,脚手架 船舶 外板 设计 要求 人们 文章 重要 水路运输 财产
142,东风天龙dci11发动机电控硅油风扇离合器工作原理及故障判断,风扇 发动机 离合器 硅油 消耗 电控 工作 功率 连接 高速运转
143,转子压缩机曲轴成形磨削关键技术研究,磨削 分析 成形 转子 压缩机 曲轴 因素 质量 影响 数学模型
144,变压器过热故障分析与处理,变压器 过热 分析 接地 处理 现象 铁芯 断定 故障 现场
145,质量管理在火力发电企业燃煤集中采购管理中的应用,管理 火力发电 企业 采购 燃煤 持续 经济 发电 需求 结构
146,电力运维缺陷管理系统的设计分析,缺陷 管理系统 业务 信息 运维 建设 信息化 电力企业 注重 一定
147,港口机械数字化设计与分析关键技术研究,设计 港口机械 分析 技术 开发 数字化 基础 发展 研究 深入
148,电工实训管理与用电安全问题探讨,电工 用电 探讨 实训 实训室 学生 制度 教师 指导 提高
149,旅顺俄罗斯文化旅游资源对当地会展旅游影响分析,旅游 文化 旅顺 会展 资源 发展 天涯海角 位于 分析 历史
150,经济型酒店自媒体营销策略研究,营销 酒店 进行 经济型 媒体 策略 互联网 广阔 市场 形成
151,幼儿园新教师职业适应问题对策研究,职业 教师 是否 得以 适应 问题 适应期 渡过 促进 人际关系
152,互联网时代提高社会治理能力对策建议——以流动人口群体为例,治理 社会 能力 互联网 提高 流动人口 群体 维护 活力 秩序
153,“互联网＋”时代下慕课教学模式研究与实践——以《销售管理》课程为例,教学模式 思路 课程 销售 管理 设计 高职 时代 研究 下慕
154,下肢外骨骼康复机器人人机交互系统分析,机器人 外骨骼 设计 进行 下肢 人机交互 患者 医疗 结构 人体
155,内蒙古冷极村乡村旅游发展现状与对策分析,发展 旅游 乡村 对策 一定 理论 持续 问题 提出 健康
156,互联网大数据商业价值分析,数据 技术 互联网 企业 一席之地 入手 商业价值 分析 时代 拥有
157,基于Excel的AHP层次分析法在学生社团评价中的应用,社团 评价 分析法 过程 分析 应用 高校学生 考核 繁琐 学生
158,上市公司社会责任财务评价指标体系构建研究,责任 社会 评价 构建 指标体系 财务 理论 履行 研究 分析
159,美国大学课程考核方式对我国课程考核改革探索——以芝加哥大学为例,考核 课程 获取 知识 掌握 改革 教师 教学质量 能力 探索
160,商务英语阅读教学探讨,商务英语 阅读教学 提出 途径 存在 提高 探讨 人才 服务 更好
161,我国汽车制造企业技术创新绩效的路径分析,技术创新 路径 汽车 转型 模型 投入 产出 经济 制造业 提升
162,桥梁隧道施工中灌浆技术的应用研究,隧道 施工 桥梁 灌浆 技术 进行 应用 重要 种类 地形
163,智能变电站二次系统优化设计及研究,变电站 智能 发展 相比 研究 进步 系统 使用 信息 所得
164,亚临界热水锅炉的水循环设计,水循环 设计 提出 热水锅炉 相应 形式 类型 锅炉 结构 方式
165,基于简易直流数字电压表的硬件仿真,设计 硬件 电压表 仿真 数字 具有 简易 直流 结构 简单
166,沙尘天气对宝鸡空气质量影响程度的研究,分析 研究 影响 程度 空气质量 天气 颗粒物 进行 变化 浓度
167,广州市旅游景区网络关注度时空特征研究,关注度 网络 景区 旅游 差异 趋势 指数 经济 时空 研究
168,基于SWOT分析的河北省现代农业园区战略研究,现代农业 园区 发展 方面 使用 竞争 亟待 因素 成绩 分析
169,共享经济背景下的企业商业模式分析——以ofo共享单车为例,共享 商业模式 经济 进行 单车 探索 分析 角逐 升温 企业
170,我国私募股权投资基金信息披露制度研究,信息 披露 基金 制度 股权 私募 投资 完善 发展 过程
171,普惠金融的经济学认识与发展评价,金融 经济 发展 群体 提升 金融服务 评价 制度 需要 认识
172,案例教学在金融工程教学中的运用探究,金融 工程 教学 课程 高校 起步 设立 案例 较晚 运用
173,小学语文阅读教学的趣味化实施,教育 阅读教学 趣味 改革 语文 小学 积累 成为 放在 重点
174,浅析“三段五环节”教学模式在农村中学数学教学中的有效应用,教学模式 教学 农村 环节 利用 中学 应用 情况 教育 实现
175,小学体育愉快学习实施策略研究,学习 体育 实施 学生 愉快 参与 小学 自主 引导 策略
176,中职学校活动体验式安全教育方法探析,中职 学校 教育 教学 促进 发展 社会 有利于 方法 体验式
177,运用“三步”教学模式培养中职生自主学习语文的能力,语文 学习 能力 教学模式 学生 自主 培养 中职 注重 教学
178,多媒体使小学语文课堂焕发光彩,小学 教学 语文课堂 应用 语文 能力 多媒体 焕发 提高 积极性
179,浅谈小学数学解题能力的培养,数学 学生 解题 培养 能力 教学 小学 笔者 体现 进行
180,高三英语课堂短文改错与书面表达结合策略,书面 短文 表达 改错 能够 重要 策略 人士 环节 提供
181,信息技术零基础课堂教学方式初探,信息技术 课堂教学 学生 学科 入手 差距 解决 差异 帮助 带来
182,初中化学生活化教学之我见,化学 教学 初中化学 学生 生活 生活化 学习 研究成果 相关 理论
183,有效开展原始物理问题教学策略的研究,问题 原始 物理 学生 教学 促进 知识 思维能力 有效 训练
184,职业中专班主任工作的难点问题及解决策略研究,职业中专 学生 班主任 进行 难点 不断 提高 工作 解决 策略
185,《基础护理学》教学中采用情景模拟教学法的效果探讨,教学法 护理 模拟 教学 对照组 情景 学习 采用 进行 综合
186,高校辅导员意识形态工作研究述评,研究 工作 意识形态 辅导员 轨迹 发展 学术 能力 高校 问题
187,浅谈小学数学计算教学的改革,教学 小学 学生 计算 数学 数学计算 能力 着重 阶段 题海战术
188,提高初中数学总复习课堂教学效率的策略研究,数学 复习 提高 效率 课堂教学 学生 构建 帮助 课堂 完整
189,关于初中英语教师走出词汇教学困境的路径探讨,教学 更好 存在 进行 问题 英语词汇 词汇 一定 困境 英语
190,创造性的农村小班化英语教学,学生 老师 小班化 教学 时间 本班 吃得饱 方面 产生 两极分化
191,浅谈新形势下高职院校如何提高思政课教学质量,政治 思想 思政 教学质量 高职 工作 理论课 大学生 高校 院校
192,新课程背景下高中物理教学改革的尝试与反思,学生 物理 课程 教学改革 学习 高中物理 反思 教师 提高 教学
193,如何通过中学美术课培养学生的审美情趣,审美 培养 学生 情趣 已经 美术课 中学 美术 应该 提升
194,浅议幼儿园区域活动中教师的有效指导,有效 幼儿 活动 区域 教学 教师 得到 取得 适当 必定会
195,改革专科考核机制 提升学生核心素养——蒙自市第二小学创新工作材料,专科 考核 教师 学生 学科 科学 材料 学校 思维 提升
196,浅谈如何激发学生的习作兴趣,学生 习作 兴趣 激发 学习 提高 语文 重要 组成部分 教材
197,从个性化角度谈小学语文作文教学,语文 教学 小学 促进 学生 个性化 作文 能够 进行 教学方式
198,浅谈数学游戏在小学数学教学中的应用,数学 游戏 学习 教学 应用 学生 课堂教学 质量 最大 注意力
199,数形结合思想在高中物理学习中的应用体会,应用 高中物理 学习 解题 思想 学科 体会 数形 原本 问题
200,初中英语语法教学研究,英语语法 英语 语言 学生 学习 教学 句子 提高 具有 情感
201,优化中职信息技术课堂教学的思考,信息技术 提升 课堂教学 优化 中职 趣味性 方案 更好 能力 知识
202,提高高中化学实验教学有效性的策略研究,教学 提高 实验教学 化学 有效性 难度 农业 医学界 重要 有着
203,浅谈平板电脑在小学低年级音乐课中的有效运用,成为 音乐课 电脑 平板 运用 教学 进行 有效 小学 改革
204,初中学生社团活动有效组织的策略研究,学生 校园文化 构建 素质 策略 至关重要 组织 有效 具有 综合
205,关于小学生自主学习的教学策略,学习 自主 数学知识 促进 教学改革 难免会 教给 转变 方式 策略
206,互联网＋背景下的高校招生宣传新媒体模式探析,招生 宣传 高校 互联网 生源 工作 媒体 建立 媒介 高效
207,立足学情 以问促学——探索语文课堂如何提升工读学生的自学能力,学生 进行 提升 教学 促学 语文 有效 工读学校 教学模式 自主
208,浅谈小学数学如何实现教学方法的创新,小学 数学 教学方法 实现 创新 关键 教学活动 素质教育 数学课程 质量
209,浅谈农村幼儿园亲子体育游戏活动的开展,幼儿 体育 教育 游戏 活动 亲子 发展 家庭教育 身心健康 促进
210,如何指导学生利用手机进行“互联网＋”的学习,手机 问题 学生 成为 人们 学习 工具 禁止 面对 对错
211,中学历史教学中的挫折教育研究,历史 挫折 教育 学生 教学 素养 学科 提升 能够 培育
212,高中物理探究式教学方法研究,探究 教学 高中物理 教学方法 研究 应用 探讨 过程 意义 进行
213,美国“一贯制技术高中”的特点研究,模式 技术 公司 关注 办学 提高 高等教育 共同 培养 职业
214,学而不思则罔 思而不学则殆——浅谈如何指导初中学生展开名著阅读,名著 优秀 文化 阅读 学生 传统 思而不学 学而不思 精神 有效
215,随风潜入夜 润物细无声——浅析培养高中学生核心素养的具体策略,培养 学生 核心 素养 语文 策略 洗礼 要求 学习 知识
216,敢说会说 说得精彩——闯关模式在中职语文口语教学的实践探索,闯关 口语 学生 中职 模式 不好 教学 迈向 不敢 必要
217,浅谈在小学语文教学中培养学生的语文素养,学生 语文 素养 能力 培养 小学 文化 综合 形成 发展
218,新课改下小学数学课堂创新能力的培养,培养 创新能力 儿童 课堂 数学 小学 创新 新课改 背景 意识
219,小学英语课程统整理念下的自然拼读浅析,英语 拼读 学习 学生 自然 小学 教学 发展 知识 掌握
220,高中体育特长生培养策略的研究,体育 竞技 学校 学生 教育 原则 身体 关注 一大 教学
221,趣谈“二十四节气”谚语中的地理知识,谚语 二十四节气 发展 地理知识 文化 内容 传承 包含 生活 节气
222,教育改革新形势下的高中化学优质课堂,提高 优质 学生 课堂 中心 教学 抓好 根本 互动 应该
223,口译人才需求与市场发展趋势分析——基于杭州地区口译服务市场的调研,市场 口译 地区 产业 服务 数据 统计 调查 规模 调研
224,孩子——让我陪你慢慢长大——浅论低段后进生的书写问题以及应对策略,学生 教学 书写 老师 重要 文化 祖国 组成部分 有着 识字
225,大学生心理健康教育课程教材建设浅析,教材 教育 心理健康 大学生 分析 建设 课程 编写 浅析 突出
226,校园文化建设在小学语文教学中的作用,学生 语文 实践 建设 带领 问题 探讨 参加 联系 紧密
227,试分析高中数学解题中平面几何的应用,平面几何 更好 应用 知识 分析 建立 方面 熟练地 高中数学 做到
228,提高初中八年级数学课堂教学有效性的分析,数学 教学 有效性 教师 给出 提高 问题 重要 分析 切入
229,合作学习在高中英语教学上的研究,学习 合作 课堂 学生 展开 帮助 自主 希望 基本要素 更好
230,基于分层教学的小学信息技术课堂实践探究——以《人物动画》为例,分层 学生 教学 学习 信息技术 课堂 小学 动画 人物 操作能力
231,在幼儿园户外体育活动中融入民间游戏,游戏 民间 简单 体育 地域 玩法 方便 深厚 具有 易学
232,借得东风花正花红——中学传统文化教育途径探微,文化教育 传统 氛围 形成 联合 家校 不足 现状 特色 环境
233,衣带渐宽终不悔 为伊消得人憔悴——中学传统文化教育现状分析及策略探究,传统 文化教育 现状 探究 分析 现象 教育 中学 文化 策略
234,浅析小学数学教学新资源的整合——以典型错题库为例,小学 数学 教学 典型 情况 学生 提升 过程 促进 效率
235,高中生英语口语学习的问题与应对策略,学习 口语 英语口语 问题 加强 学生 策略 方面 谋生 社会
236,小学英语教学应用“情景体验式教学模式”的分析,情景 小学 英语 学习 教学法 兴趣 应用 分析 教学模式 体验式
237,如何通过化学实验培养学生的观察能力,学生 能力 观察 培养 化学 学习 问题 过程 重要 共同提高
238,论文言文教学的课外拓展,文言文 教学 学生 学习 拓展 激发 角度 兴趣 阅读 相当程度
239,借助信息技术、微课视频增加初中历史课教学的趣味性——我晒课、我反思、我快乐,课堂 教学 信息技术 趣味性 视频 学生 调动 改变 微课 参与
240,幼儿园课程游戏化的推进策略,课程 幼儿 游戏 幼儿教育 发展 推进 兴趣 需求 活泼 良好
241,健康行为干预对妊娠期糖尿病高危孕妇早期筛查指标的影响,干预 质量 孕妇 对照组 行为 指标 健康 影响 筛查 组间
242,心肌损伤标志物在脓毒血症患者急救中的作用研究,患者 进行 存活 损伤 心肌 治疗 血分 毒血症 数组 分别
243,基于左手材料的微带天线小型化设计,小型化 天线 材料 传统 性能 结构 仿真 谐振 进行 特性
244,数字人文项目“莱比锡开放碎片文本序列”（LOFTS）探究,项目 开放 碎片 技术 数字化 背景 人员构成 目标 文本 序列
245,Ti/Al异种材料搭接焊的研究现状,搭接 应用 研究 接头 现状 材料 综述 钎焊 详细分析 介绍
246,基于vb.net的电力测控系统开发,系统 开发 测控 电力 完成 总线 拓展 通讯 做出 搭建
247,基于知识网络视角探讨图书、情报、档案学科的交叉与融合,知识 图书馆学 网络 情报学 学科 图书 融合 档案学 情报 视角
248,一种星载CICQ交换机单组播分组调度算法,分组 算法 缓解 单组 调度 重传 信道 考虑 进行 问题
249,沉默Y盒结合蛋白-1表达抑制SH-SY5Y细胞增殖促其凋亡的作用与机制,细胞 转染 对照组 水平 表达 增殖 凋亡 检测 蛋白 机制
250,亚砷酸联合电离辐射对肝癌细胞株HepG2增殖、迁移及侵袭能力的影响,能力 联合 亚砷酸 增殖 迁移 处理 细胞 侵袭 肝癌 影响
251,~（18）F-FDG PET/CT与~（99）Tc~m-MDP骨显像在恶性肿瘤骨转移中的检查效能比较,比较 方法 显像 患者 检出率 类型 意义 效能 阳性 优势
